Mã KH,Khách hàng,Loại Khách hàng
KH-0001,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ BÁCH KHOA,CTY - DN
KH-0002,Công ty CP Phát triển Kỹ thuật và Thương mại Tân Đức,CTY - DN
KH-0003,NGƯỜI MUA KHÔNG LẤY HÓA ĐƠN,Khách lẻ
KH-0004,CÔNG TY TNHH PRO ACTIVE GLOBAL VIỆT NAM,CTY - DN
KH-0005,Công ty TNHH Công nghệ Ktech,CTY - DN
KH-0006,NGÂN HÀNG TMCP Á CHÂU,CTY - DN
KH-0007,Công ty TNHH Tích Hợp Hệ thống CMC Sài Gòn,CTY - DN
KH-0008,CN Cty TNHH Máy Tính Nét (TP. Hà Nội),CTY - DN
KH-0009,CỬA HÀNG VI TÍNH PHÁT ĐẠT BÌNH DƯƠNG,CTY - DN
KH-0010,CN CTY TNHH KDDI VN TẠI TP. HCM,CTY - DN
KH-0011,DNTN VŨ CÁNH,CTY - DN
KH-0012,CÔNG TY TNHH NAVIC VÀ KUNSHIN VIỆT NAM,CTY - DN
KH-0013,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN CÔNG NGHỆ SÀI GÒN,CTY - DN
KH-0014,CTY TNHH SOFTWAREONE VIỆT NAM,CTY - DN
KH-0015,CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN NAM,CTY - DN
KH-0016,Văn phòng thường trú Taisei Corporation tại Tp HCM,CTY - DN
KH-0017,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG THẾ HỆ MỚI,CTY - DN
KH-0018,CÔNG TY TNHH TM DV CÔNG NGHỆ MỘT THÀNH VIÊN PHÚ AN,CTY - DN
KH-0019,CÔNG TY TNHH DUY NGUYỄN MPS,CTY - DN
KH-0020,CTY TNHH TRÚC XUÂN,CTY - DN
KH-0021,CÔNG TY CỔ PHẦN GĂNG VIỆT,CTY - DN
KH-0022,Khách lẻ,Khách lẻ
KH-0023,CÔNG TY CỔ PHẦN BỆNH VIỆN MẮT QUỐC TẾ HOÀN MỸ SÀI GÒN,CTY - DN
KH-0024,Công Ty TNHH Phần Mềm Kỷ Nguyên Số,CTY - DN
KH-0025,CÔNG TY TNHH SOLID & SOFT,CTY - DN
KH-0026,CÔNG TY TNHH DGS LOGISTICS,CTY - DN
KH-0027,CÔNG TY TNHH GIAO NHẬN KỶ OAI RỒNG CHI NA,CTY - DN
KH-0028,CÔNG TY TNHH ALTUS GROUP (VIỆT NAM),CTY - DN
KH-0029,CÔNG TY TNHH SHOWA BRAIN NAVI VIỆT NAM,CTY - DN
KH-0030,Công ty TNHH TM DV Thiết bị số Huy Phát,CTY - DN
KH-0031,Công ty TNHH Winning Access Property Việt Nam,CTY - DN
KH-0032,CÔNG TY TNHH MAINETTI (VIỆT NAM),CTY - DN
KH-0033,CÔNG TY TNHH CƠ KHÍ MINH ĐỨC,CTY - DN
KH-0034,CÔNG TY TNHH CBRE (VIỆT NAM),CTY - DN
KH-0035,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP LONG SƠN,CTY - DN
KH-0036,CÔNG TY TNHH TIN HỌC VIỄN THÔNG VINAFORE,CTY - DN
KH-0037,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ TIN HỌC AN PHÚ,CTY - DN
KH-0038,CÔNG TY TNHH EPSON VIỆT NAM,CTY - DN
KH-0039,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẢN VIỆT,CTY - DN
KH-0040,CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ MINH ANH,CTY - DN
KH-0041,Công ty Luật TNHH GRUENKORN & PARTNER,CTY - DN
KH-0042,CÔNG TY LUẬT TNHH QUỐC TẾ VIỆT NAM (VILAF – HỒNG ĐỨC),CTY - DN
KH-0043,CÔNG TY  TNHH  TM DV  TRANG THIẾT BỊ Y TẾ TPT MIỀN NAM,CTY - DN
KH-0044,CÔNG TY TRÁCH NHIỆM HỮU HẠN ORGANO VIỆT NAM,CTY - DN
KH-0045,CÔNG TY TRÁCH NHIỆM HỮU HẠN  NTT DATA VIỆT NAM,CTY - DN
KH-0046,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ ACT,CTY - DN
KH-0047,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VIỄN THÔNG THỊNH PHÁT,CTY - DN
KH-0048,CÔNG TY TNHH TƯ VẤN THIẾT KẾ TUỆ QUANG PT,CTY - DN
KH-0049,CÔNG TY TNHH WINS SOFT,CTY - DN
KH-0050,CÔNG TY TNHH AMOREPACIFIC VIỆT NAM,CTY - DN
KH-0051,CÔNG TY TNHH GIẢI PHÁP TÍCH HỢP HỆ THỐNG H.N.T.C,CTY - DN
KH-0052,CÔNG TY CỔ PHẦN SAO VIỆT,CTY - DN
KH-0053,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ IN CHUYỂN KTK,CTY - DN
KH-0054,Công Ty TNHH Thương Mại Dịch Vụ ICT Sài Gòn,CTY - DN
KH-0055,Công ty TNHH MTV Bluzen Vina,CTY - DN
KH-0056,Chi nhánh tại TP.HCM Công ty TNHH Hệ thống Thông tin Ngân hàng Tài chính FPT (TP.HN),CTY - DN
KH-0057,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,CTY - DN
KH-0058,CÔNG TY TNHH MONACO HEALTHCARE,CTY - DN
KH-0059,Công ty TNHH PMAS,CTY - DN
KH-0060,Công ty TNHH MTV Thương mại và Dịch vụ ELITE,CTY - DN
KH-0061,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VI TÍNH SAO MAI,CTY - DN
KH-0062,Công Ty TNHH GreyStones Data Systems Việt Nam,CTY - DN
KH-0063,Công ty TNHH MTV CK KT Trí Trung,CTY - DN
KH-0064,LIÊN DANH NK-JIC-PBJ-JTC-TEC-TEDI SOUTH - TRICC,CTY - DN
KH-0065,CÔNG TY TNHH BONFIGLIOLI VIỆT NAM,CTY - DN
KH-0066,CÔNG TY TNHH CÔNG NGHỆ G7,CTY - DN
KH-0067,Công ty TNHH KAHOKU LIGHTING SOLUTIONS Việt Nam,CTY - DN
KH-0068,CÔNG TY TNHH GROOVE TECHNOLOGY VIETNAM,CTY - DN
KH-0069,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM THIÊN Á,CTY - DN
KH-0070,CÔNG TY TNHH THƯƠNG MẠI NGỌC THIÊN BẢO,CTY - DN
KH-0071,CÔNG TY TNHH SANCOH VIỆT NAM,CTY - DN
KH-0072,Chi nhánh tại TP.Hồ Chí Minh Công ty TNHH Hệ thống thông tin FPT (TP. Hà Nội),CTY - DN
KH-0073,Công ty cổ phần Công nghệ trực tuyến Tầm Nhìn Việt,CTY - DN
KH-0074,Công ty TNHH Khu dân cư LeadGroup,CTY - DN
KH-0075,Công ty TNHH METKRAFT,CTY - DN
KH-0076,CÔNG TY TNHH MITRA ADIPERKASA VIỆT NAM,CTY - DN
KH-0077,CÔNG TY TNHH DÂY CÁP ĐIỆN TAI SIN (VN),CTY - DN
KH-0078,Công ty TNHH Dịch vụ Thắng Lợi,CTY - DN
KH-0079,CÔNG TY TNHH AYTEC VIỆT NAM,CTY - DN
KH-0080,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NOZV VIỆT NAM,CTY - DN
KH-0081,CÔNG TY TNHH  SYSONE,CTY - DN
KH-0082,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NÉT SỐ,CTY - DN
KH-0083,Công ty TNHH YKK Việt Nam,CTY - DN
KH-0084,CÔNG TY TNHH TỔ HỢP NHẤT VIỆT,CTY - DN
KH-0085,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THỨC ĂN CHĂN NUÔI BÌNH MINH,CTY - DN
KH-0086,CÔNG TY TNHH XÂY DỰNG VÀ KINH DOANH NHÀ ĐIỀN PHÚC THÀNH,CTY - DN
KH-0087,CÔNG TY TNHH THIẾT BỊ ĐO LƯỜNG VÀ ĐIỀU KHIỂN ĐẠI VIỆT,CTY - DN
KH-0088,Công ty TNHH Công Nghệ Thông Tin Chân Trời Sáng,CTY - DN
KH-0089,Công ty TNHH MTV K-Tech,CTY - DN
KH-0090,CÔNG TY TNHH YOUYOUWINGS,CTY - DN
KH-0091,CÔNG TY CP CÔNG NGHỆ TIÊN PHONG,CTY - DN
KH-0092,Công ty TNHH thương mại và dịch vụ Song Linh,CTY - DN
KH-0093,CTY TNHH CÔNG NGHỆ VÀ PHẦN MỀM NAM Á,CTY - DN
KH-0094,Công ty TNHH Shiseido Việt Nam,CTY - DN
KH-0095,CÔNG TY CP HỆ THỐNG CÔNG NGHỆ ÁNH LAM,CTY - DN
KH-0096,CHI NHÁNH CÔNG TY TNHH MTV - TỔNG CÔNG TY PHÁT ĐIỆN 3 - CÔNG TY DỊCH VỤ SỬA CHỮA CÁC NHÀ MÁY ĐIỆN,CTY - DN
KH-0097,Công ty TNHH Đặc Rạng Việt Nam.,CTY - DN
KH-0098,Công ty TNHH Schenker Việt Nam,CTY - DN
KH-0099,CÔNG TY TNHH YKK AP FACADE VIỆT NAM,CTY - DN
KH-0100,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ THƯƠNG MẠI NSP VIỆT NAM,CTY - DN
KH-0101,Công Ty TNHH Fairfield Việt Nam,CTY - DN
KH-0102,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,CTY - DN
KH-0103,Công ty CP Phát triển Điện lực Thăng Long,CTY - DN
KH-0104,CÔNG TY TNHH VINA-CPK,CTY - DN
KH-0105,Công Ty TNHH Jang Won Tech Vina,CTY - DN
KH-0106,Công Ty TNHH Thương Mại Dịch Vụ Viết Quang,CTY - DN
KH-0107,CÔNG TY TNHH TRẦN VIỆT PHÁT,CTY - DN
KH-0108,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUNG NGUYÊN,CTY - DN
KH-0109,CÔNG TY TNHH MỘT THÀNH VIÊN HIỆP THỊNH,CTY - DN
KH-0110,CÔNG TY CỔ PHẦN CÔNG NGHỆ ĐẠI TRẦN GIA,CTY - DN
KH-0111,Công ty Cổ phần Tiến Bộ Quốc Tế,CTY - DN
KH-0112,Công ty TNHH Thương mại Kỹ thuật Tin học Anh Ngọc,CTY - DN
KH-0113,CÔNG TY TNHH TIẾP VẬN KINTETSU VIỆT NAM,CTY - DN
KH-0114,CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN SUNWAY HÀ NỘI,CTY - DN
KH-0115,Công ty cổ phần Ipos.vn,CTY - DN
KH-0116,Văn phòng Đại diện công ty Taisei tại Hà Nội,CTY - DN
KH-0117,Công ty Cổ phần Đàug Tư Công nghệ STI,CTY - DN
KH-0118,CÔNG TY CỔ PHẦN PIN HÀ NỘI,CTY - DN
KH-0119,Công ty TNHH Sinh Nam,CTY - DN
KH-0120,Công ty TNHH thương mại kỹ thuật Hải Quang,CTY - DN
KH-0121,Công ty TNHH IKO THOMPSON VIỆT NAM,CTY - DN
KH-0122,Công ty TNHH TotalGaz Việt Nam,CTY - DN
KH-0123,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HOÀN HẢO,CTY - DN
KH-0124,Công Ty Cổ Phần Điện Ii,CTY - DN
KH-0125,Công Ty Cổ Phần Thương Mại Và Phát Triển Kỹ Thuật Cao Vihoth,CTY - DN
KH-0126,Công ty TNHH Dịch Vụ Tin Học Rồng Việt,CTY - DN
KH-0127,Công ty cổ phần phân phối và bán lẻ BT,CTY - DN
KH-0128,Công ty Công nghệ thông tin Điện lực miền Bắc.,CTY - DN
KH-0129,Công Ty TNHH Cpro Việt Nam,CTY - DN
KH-0130,Công ty TNHH Deloitte Việt Nam,CTY - DN
KH-0131,CÔNG TY CỔ PHẦN SONGWOL VINA,CTY - DN
KH-0132,Bảo hiểm xã hội tỉnh Hà Giang,CTY - DN
KH-0133,CÔNG TY CỔ PHẦN KIẾN TRÚC ĐỒNG NHÂN,CTY - DN
KH-0134,Công ty TNHH Nông Lâm Sản Tiên Phước,CTY - DN
KH-0135,Công ty TNHH EAGLE ONE ENTERPRISE,CTY - DN
KH-0136,Công ty cổ phần SRP,CTY - DN
KH-0137,CÔNG TY TNHH PHÂN PHỐI SYNNEX FPT,CTY - DN
KH-0138,Công ty TNHH giải pháp công trường xây dựng Doosan Việt Nam,CTY - DN
KH-0139,Công Ty TNHH Xây Dựng Sandstone,CTY - DN
KH-0140,CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT,CTY - DN
KH-0141,CÔNG TY CỔ PHẦN TRUNG VIỆT HƯNG,CTY - DN
KH-0142,Công ty cổ phần Act Brain Việt Nam,CTY - DN
KH-0143,CÔNG TY CP VI TÍNH MEKONG,CTY - DN
KH-0144,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ PHÚ SINH KIM,CTY - DN
KH-0145,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,CTY - DN
KH-0146,LIÊN ĐOÀN BÓNG ĐÁ NAUY,CTY - DN
KH-0147,Công TY TNHH Công nghệ Nettop Việt Nam,CTY - DN
KH-0148,Công Ty TNHH Sojitz Viet Nam,CTY - DN
KH-0149,CÔNG TY CỔ PHẦN ZAKKA,CTY - DN
KH-0150,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ AE VIỆT NAM,CTY - DN
KH-0151,Công Ty Cổ Phần Style Stone,CTY - DN
KH-0152,CÔNG TY CỔ PHẦN THÁI MINH,CTY - DN
KH-0153,Công Ty CP Công Nghệ Kỹ Thuật Số - HiTD,CTY - DN
KH-0154,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,CTY - DN
KH-0155,Nhà máy sữa đậu nành Việt Nam Vinasoy - Chi nhánh Công ty Cổ phần Đường Quảng Ngãi,CTY - DN
KH-0156,Công ty TNHH Xây dựng C.A.D,CTY - DN
KH-0157,CÔNG TY TNHH YOUNGONE NAM ĐỊNH,CTY - DN
KH-0158,Chi Nhánh công ty TNHH Em-Tech Việt Nam tại Nghệ An,CTY - DN
KH-0159,Chi nhánh Công ty TNHH Bơm EBARA Việt Nam tại Hà Nội,CTY - DN
KH-0160,CÔNG TY TNHH CÔNG NGHỆ CAO BÁCH KHOA,CTY - DN
KH-0161,Công Ty TNHH Bao Bì MM Vidon,CTY - DN
KH-0162,Công Ty TNHH Menkar,CTY - DN
KH-0163,Công ty TNHH Một Thành Viên Việt Giay,CTY - DN
KH-0164,TRƯỜNG TIỂU HỌC DÂN LẬP VIỆT MỸ,CTY - DN
KH-0165,TRƯỜNG THCS VIỆT MỸ,CTY - DN
KH-0166,CÔNG TY TNHH CÔNG NGHỆ 360 VIỆT NAM,CTY - DN
KH-0167,CÔNG TY TNHH MỘT THÀNH VIÊN TÍN PHÁT COMPUTER,CTY - DN
KH-0168,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VIỆT NAM,CTY - DN
KH-0169,CÔNG TY TNHH THƯƠNG MẠI KẾT NỐI AN TOÀN,CTY - DN
KH-0170,Công ty TNHH Pacisoft Việt Nam,CTY - DN
KH-0171,CÔNG TY TNHH MÁY TÍNH ĐỨC AN,CTY - DN
KH-0172,Công ty TNHH Silver Heritage Việt Nam.,CTY - DN
KH-0173,CÔNG TY CỔ PHẦN TÍCH HỢP GIẢI PHÁP KST,CTY - DN
KH-0174,CÔNG TY TNHH GIẢI PHÁP AN NINH KẾT NỐI CÔNG NGHỆ CAO,CTY - DN
KH-0175,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TSC VIỆT NAM,CTY - DN
KH-0176,CÔNG TY TNHH KDDI VIỆT NAM,CTY - DN
KH-0177,CÔNG TY VNPT GLOBAL HK LTD,CTY - DN
KH-0178,CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU BẾN TRE,CTY - DN
KH-0179,CÔNG TY TNHH GIANG KHÁNH VINH,CTY - DN
KH-0180,Công Ty TNHH Draeger Việt Nam,CTY - DN
KH-0181,Công ty TNHH Thakral One – Chi nhánh tại Hà Nội,CTY - DN
KH-0182,CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ THỊNH PHÁT COMPUTER,CTY - DN
KH-0183,CÔNG TY CỔ PHẦN TRIHAN,CTY - DN
KH-0184,Chi nhánh Công ty cổ phần kho vận Jupiter Việt Nam tại Hà Nội,CTY - DN
KH-0185,Chi nhánh công ty cổ phần giao nhận hàng hoá JUPITER- PACIFIC tại thành phố Hà Nội,CTY - DN
KH-0186,CÔNG TY TNHH OVI CABLES (VIỆT NAM),CTY - DN
KH-0187,CÔNG TY CỔ PHẦN ĐIỆN LỰC KHÁNH HÒA,CTY - DN
KH-0188,Công ty TNHH công nghiệp ADCEL Việt Nam,CTY - DN
KH-0189,CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ ALSOK VIỆT NAM,CTY - DN
KH-0190,Công ty TNHH Công nghệ Info Việt Nam,CTY - DN
KH-0191,CÔNG TY TNHH VIETTEL - CHT,CTY - DN
KH-0192,HỢP TÁC XÃ MÂY TRE LÁ BA NHẤT,CTY - DN
KH-0193,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ TIẾN THÀNH,CTY - DN
KH-0194,CÔNG TY TNHH ESOFTFLOW,CTY - DN
KH-0195,CÔNG TY TNHH FUJI SEAL VIỆT NAM,CTY - DN
KH-0196,CÔNG TY CP MÁY TÍNH – TRUYỀN THÔNG- ĐIỀU KHIỂN 3C,CTY - DN
KH-0197,CÔNG TY TNHH IMAX,CTY - DN
KH-0198,CÔNG TY TNHH CÔNG TY KHAI THÁC ĐÁ VÔI YABASHI VIỆT NAM,CTY - DN
KH-0199,CÔNG TY CỔ PHẦN REECOM GROUP,CTY - DN
KH-0200,CÔNG TY TNHH PHÁT TRIỂN NAM HỘI AN,CTY - DN
KH-0201,CÔNG TY TNHH SHIFT ASIA,CTY - DN
KH-0202,Công ty CP Giải pháp Siêu Việt,CTY - DN
KH-0203,Công Ty TNHH ENKEI Việt Nam,CTY - DN
KH-0204,CÔNG TY CỔ PHẦN DFM-ENGINEERING,CTY - DN
KH-0205,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG CÔNG NGHIỆP VIỆT NAM,CTY - DN
KH-0206,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH SONG ANH,CTY - DN
KH-0207,CÔNG TY TNHH CÔNG NGHIỆP FULLWEI VIỆT NAM,CTY - DN
KH-0208,CÔNG TY TNHH THIẾT BỊ IN SPM,CTY - DN
KH-0209,VĂN PHÒNG ĐĂNG KÝ ĐẤT ĐAI TỈNH BẮC NINH,CTY - DN
KH-0210,CÔNG TY TNHH MẠNG THÔNG TIN PHẲNG,CTY - DN
KH-0211,CÔNG TY TNHH KONDO TEKKO VIỆT NAM,CTY - DN
KH-0212,CÔNG TY TNHH DONGSUNG VINA,CTY - DN
KH-0213,CÔNG TY CỔ PHẦN CÔNG NGHỆ & KHOA HỌC SÔNG HỒNG,CTY - DN
KH-0214,CÔNG TY CỔ PHẦN ĐẤT HIẾM VIỆT NAM,CTY - DN
KH-0215,CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,CTY - DN
KH-0216,CÔNG TY TRÁCH NHIỆM HỮU HẠN INOAC VIỆT NAM,CTY - DN
KH-0217,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DDN,CTY - DN
KH-0218,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ CÔNG NGHỆ THÔNG TIN KINH DOANH MẠNG LƯỚI CÔNG NGHỆ CAO,CTY - DN
KH-0219,ASPEN RESOURCES PTE LTD,CTY - DN
KH-0220,CÔNG TY TNHH BAO BÌ NEXGEN VIỆT NAM,CTY - DN
KH-0221,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC KHÁNH PHƯƠNG,CTY - DN
KH-0222,CÔNG TY CỔ PHẦN I.P.L,CTY - DN
KH-0223,CÔNG TY TNHH THÀNH LỢI,CTY - DN
KH-0224,Chi nhánh Công Ty TNHH Mazars Việt Nam Tại Hà Nội,CTY - DN
KH-0225,CÔNG TY TNHH BƠM EBARA VIỆT NAM,CTY - DN
KH-0226,CÔNG TY TNHH BR24 VIETNAM,CTY - DN
KH-0227,CÔNG TY TNHH CANON MARKETING VIỆT NAM,CTY - DN
KH-0228,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA NỘI BÀI,CTY - DN
KH-0229,CÔNG TY CỔ PHẦN VIỄN THÔNG GIANG NAM,CTY - DN
KH-0230,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Khôi Nguyên,CTY - DN
KH-0231,CÔNG TY CỔ PHẦN CAO SU SAO VÀNG,CTY - DN
KH-0232,CÔNG TY TNHH MỘT THÀNH VIÊN ESPERSEN VIỆT NAM,CTY - DN
KH-0233,CÔNG TY TNHH VIỆT PAN - PACIFIC THANH HÓA,CTY - DN
KH-0234,Công Ty TNHH Umec Việt Nam,CTY - DN
KH-0235,CÔNG TY CỔ PHẦN CÔNG NGHỆ MÁY TÍNH VÀ KIẾN TRÚC HÀ NỘI,CTY - DN
KH-0236,CÔNG TY CỔ PHẦN CÔNG NGHỆ THIÊN VẬN,CTY - DN
KH-0237,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ ỨNG DỤNG TOÀN CẦU,CTY - DN
KH-0238,CÔNG TY TNHH PHẦN MỀM FPT,CTY - DN
KH-0239,CỔNG THÔNG TIN ĐIỆN TỬ NGHỆ AN,CTY - DN
KH-0240,Công ty TNHH Extrans Việt Nam,CTY - DN
KH-0241,Công ty TNHH May Xuất Nhập Khẩu Đức Thành 3,CTY - DN
KH-0242,CÔNG TY CỔ PHẦN HÃNG SƠN ĐÔNG Á,CTY - DN
KH-0243,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT SAO,CTY - DN
KH-0244,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU HSC39,CTY - DN
KH-0245,CÔNG TY TNHH HONDA TRADING VIỆT NAM,CTY - DN
KH-0246,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MITU,CTY - DN
KH-0247,Công ty CP Dịch vụ Công nghệ Tin học HPT,CTY - DN
KH-0248,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,CTY - DN
KH-0249,CHI NHÁNH CSP LEGAL LLC TẠI HÀ NỘI,CTY - DN
KH-0250,CÔNG TY TNHH MỘT THÀNH VIÊN KARCHER,CTY - DN
KH-0251,CÔNG TY TNHH NETMARKS VIỆT NAM,CTY - DN
KH-0252,CÔNG TY TNHH MOBILE MAPPING VIỆT NAM,CTY - DN
KH-0253,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM PHÚC LỘC THỌ,CTY - DN
KH-0254,CÔNG TY TNHH LG ELECTRONICS VIỆT NAM HẢI PHÒNG,CTY - DN
KH-0255,"ACE TECH Co., Ltd",CTY - DN
KH-0256,Công Ty Cổ Phần Chăm Sóc Công Nghệ Thông Tin,CTY - DN
KH-0257,CÔNG TY CỔ PHẦN CÔNG NGHỆ BNH VIỆT NAM,CTY - DN
KH-0258,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ HOÀN CẦU,CTY - DN
KH-0259,KRYSTAD CONSULT,CTY - DN
KH-0260,CÔNG TY TNHH VALQUA VIỆT NAM,CTY - DN
KH-0261,Cục đăng kiểm Việt Nam,CTY - DN
KH-0262,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÂM HỢP NHẤT,CTY - DN
KH-0263,Công ty TNHH Thịnh Phát Auto,CTY - DN
KH-0264,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG,CTY - DN
KH-0265,CÔNG TY CỔ PHẦN FOODY,CTY - DN
KH-0266,CÔNG TY CỔ PHẦN CÔNG NGHỆ BÌNH MINH,CTY - DN
