Mã KH,Khách hàng,Loại Khách hàng
KH-0267,Khách hàng mua lẻ-Giao hàng thu tiền ngay,Khách lẻ
KH-0268,Công ty TNHH Netika Business Solution Việt Nam,CTY - DN
KH-0269,Công ty TNHH Quốc tế Delta,CTY - DN
KH-0270,CÔNG TY TNHH GEROC,CTY - DN
KH-0271,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ VÀ THƯƠNG MẠI TRÚC VÂN,CTY - DN
KH-0272,Công ty Cổ Phần Thiết Bị Máy Tính An Phú Hưng,CTY - DN
KH-0273,CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTA VIỆT NAM,CTY - DN
KH-0274,CÔNG TY TRÁCH NHIỆM HỮU HẠN IMG VIỆT NAM,CTY - DN
KH-0275,CÔNG TY CP IN MINH PHƯƠNG,CTY - DN
KH-0276,Công ty TNHH Thương mại dịch vụ Triparest,CTY - DN
KH-0277,BƯU ĐIỆN TỈNH SƠN LA,CTY - DN
KH-0278,CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.O,CTY - DN
KH-0279,Công Ty TNHH Yoosung KN Việt Nam,CTY - DN
KH-0280,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI KHO ĐỎ,CTY - DN
KH-0281,CÔNG TY TNHH BOTANICAL COSMETIC,CTY - DN
KH-0282,CÔNG TY TNHH SIÊU SIÊU NHỎ,CTY - DN
KH-0283,CÔNG TY CỔ PHẦN ĐẦU TƯ SMART FUN,CTY - DN
KH-0284,CÔNG TY TNHH BESTPLANT,CTY - DN
KH-0285,CÔNG TY TNHH THÔNG TIN NTT (VIỆT NAM),CTY - DN
KH-0286,CÔNG TY TNHH DAN TI,CTY - DN
KH-0287,CÔNG TY TNHH NAM&CO LONDON,CTY - DN
KH-0288,CÔNG TY CỔ PHẦN DỊCH VỤ GIẢI PHÁP CÔNG NGHỆ MẠNG 10,CTY - DN
KH-0289,CÔNG TY TNHH SỮA CHO TƯƠNG LAI,CTY - DN
KH-0290,CÔNG TY CỔ PHẦN ĐIỆN VÀ CHIẾU SÁNG AN PHÚ,CTY - DN
KH-0291,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ BẤT ĐỘNG SẢN HÒA BÌNH - KHÁCH SẠN NOVOTEL SUITES HÀ NỘI,CTY - DN
KH-0292,CÔNG TY TNHH CƠ ĐIỆN LẠNH - THƯƠNG MẠI HÒA BÌNH,CTY - DN
KH-0293,Công ty TNHH Công nghiệp nặng Doosan Việt Nam,CTY - DN
KH-0294,Ngân Hàng Thương Mại Cổ Phần Kỹ Thương Việt Nam,CTY - DN
KH-0295,Công Ty Cổ Phần Công Nghệ Sao Bắc Đẩu,CTY - DN
KH-0296,Chi Nhánh CTy TNHH CARGILL Việt Nam  tại Hưng yên,CTY - DN
KH-0297,Công ty TNHH Quảng cáo Duy Nguyên,CTY - DN
KH-0298,Công Ty Cổ Phần Thương Mại Và Công Nghệ Thông Tin Tân Việt,CTY - DN
KH-0299,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DU LỊCH TẦM NHÌN VIỆT,CTY - DN
KH-0300,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐIỆN BÌNH SƠN,CTY - DN
KH-0301,Công Ty TNHH Một Thành Viên Techcoms,CTY - DN
KH-0302,Công ty Cổ Phần Visco,CTY - DN
KH-0303,Công ty cổ phần 3B,CTY - DN
KH-0304,Công Ty Cổ Phần Đầu Tư Xây Dựng Thương Mại Công Nghệ Thăng Long,CTY - DN
KH-0305,Phòng Tài Vụ - Viện Quy Hoạch Thủy Lợi,CTY - DN
KH-0306,TRUNG TÂM PHÁT TRIỂN THƯƠNG MẠI ĐIỆN TỬ,CTY - DN
KH-0307,NGÂN HÀNG HỢP TÁC XÃ VIỆT NAM,CTY - DN
KH-0308,Công ty TNHH Medikit Việt Nam,CTY - DN
KH-0309,Công Ty TNHH Thương Mại Hoàng Phát,CTY - DN
KH-0310,Công ty Cổ phần Sản xuất và Dịch vụ Máy tính 3C,CTY - DN
KH-0311,Công ty TNHH Thương mại và xuất nhập khẩu D&C Việt Nam,CTY - DN
KH-0312,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TECCOM,CTY - DN
KH-0313,CÔNG TY TNHH QUẢN LÝ XÂY DỰNG VINCOM 1,CTY - DN
KH-0314,Công ty TNHH Đầu tư xây dựng và thương mại Ngãi Cầu,CTY - DN
KH-0315,Công Ty TNHH thương mại kỹ thuật Thiên Phú,CTY - DN
KH-0316,CÔNG TY TNHH CÔNG NGHỆ ĐỘT DẬP MOCHIZUKI VIỆT NAM,CTY - DN
KH-0317,Công ty TNHH Dịch Vụ Số Hợp Quân,CTY - DN
KH-0318,Công ty TNHH Ogishi Việt Nam,CTY - DN
KH-0319,CÔNG TY CỔ PHẦN VIỆT NGA,CTY - DN
KH-0320,CHI NHÁNH CÔNG TY TNHH TODA VIỆT NAM TẠI HÀ NỘI,CTY - DN
KH-0321,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TRANG NHI,CTY - DN
KH-0322,CÔNG TY TNHH VIETNAM JINTUO ELECTRONICS,CTY - DN
KH-0323,CÔNG TY TNHH MTV THƯƠNG MẠI ITCG VIỆT NAM,CTY - DN
KH-0324,Công ty CP Đầu tư và Phát triển Đô thị Việt Hưng,CTY - DN
KH-0325,CÔNG TY TNHH CÔNG TRÌNH CẤP THOÁT NƯỚC & HẠ TẦNG ĐÔ THỊ M.A.T,CTY - DN
KH-0326,CÔNG TY TNHH TƯ VẤN MRI,CTY - DN
KH-0327,CÔNG TY TRÁCH NHIỆM HỮU HẠN DIGITAL DAESUNG VIỆT NAM,CTY - DN
KH-0328,CÔNG TY TNHH POWER LOGICS VINA,CTY - DN
KH-0329,CÔNG TY CỔ PHẦN QUỐC TẾ WORLD STAR,CTY - DN
KH-0330,CÔNG TY CỔ PHẦN TẬP ĐOÀN VBCC,CTY - DN
KH-0331,CHI NHÁNH MIỀN TRUNG CÔNG TY CỔ PHẦN TU BỔ DI TÍCH TW-VINAREMON,CTY - DN
KH-0332,CÔNG TY TNHH PIN GP (VIỆT NAM),CTY - DN
KH-0333,CÔNG TY TNHH THỜI TRANG STAR,CTY - DN
KH-0334,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG CẢNG - ĐƯỜNG THUỶ,CTY - DN
KH-0335,CÔNG TY TNHH NISSHO ELECTRONICS VIỆT NAM,CTY - DN
KH-0336,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI VIETSUN,CTY - DN
KH-0337,CÔNG TY CỔ PHẦN HỒNG LAM,CTY - DN
KH-0338,CÔNG TY CỔ PHẦN PHÁT TRIỂN NGUỒN NHÂN LỰC THÁI SƠN,CTY - DN
KH-0339,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP THÔNG MINH,CTY - DN
KH-0340,CÔNG TY TNHH KỸ NGHỆ BANICO,CTY - DN
KH-0341,Công Ty Cổ Phần YoTek,CTY - DN
KH-0342,CÔNG TY CỔ PHẦN BÁCH TOÀN,CTY - DN
KH-0343,TỔNG CÔNG TY CỔ PHẦN BIA- RƯỢU- NƯỚC GIẢI KHÁT HÀ NỘI,CTY - DN
KH-0344,CÔNG TY CỔ PHẦN TƯ VẤN  QUẢN TRỊ DOANH NGHIỆP TINH VÂN,CTY - DN
KH-0345,CÔNG TY TNHH HJC VINA,CTY - DN
KH-0346,CÔNG TY CP - TẬP ĐOÀN THAIGROUP,CTY - DN
KH-0347,Tổng cục hậu cần - Bộ quốc phòng,CTY - DN
KH-0348,CÔNG TY CỔ PHẦN ỨNG DỤNG VÀ PHÁT TRIỂN CÔNG NGHỆ THÔNG TIN,CTY - DN
KH-0349,Công Ty TNHH Thiết Bị Tin Học Vinatech,CTY - DN
KH-0350,BAN PHÁT TRIỂN CỘNG ĐỒNG XÃ VÂN THANH,CTY - DN
KH-0351,CÔNG TY CỔ PHẦN XÂY LẮP VÀ ĐIỆN NƯỚC QUANG MINH,CTY - DN
KH-0352,CÔNG TY TNHH THÁI HOA ĐÔ,CTY - DN
KH-0353,CÔNG TY TNHH THƯƠNG MẠI & ĐẦU TƯ CÔNG NGHỆ PHƯỢNG HOÀNG,CTY - DN
KH-0354,TRUNG TÂM ĐĂNG KIỂM XE CƠ GIỚI 98-02D-CNHTXĐTXDQL VÀ KT CHỢ HẢI AN TẠI TPBG,CTY - DN
KH-0355,Công Ty TNHH Một Thành Viên Điện Tử Tin Học MHQ,CTY - DN
KH-0356,Công ty Cổ Phần Giải Pháp Tech Vietnam,CTY - DN
KH-0357,CÔNG TY CỔ PHẦN DỊCH VỤ VĂN PHÒNG BẮC HÀ,CTY - DN
KH-0358,Công ty TNHH KSS Việt Nam,CTY - DN
KH-0359,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ AN LỘC,CTY - DN
KH-0360,"Hợp tác xã đầu tư, xây dựng, quản lý và khai thác chợ Hải An",CTY - DN
KH-0361,CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ BẢO GIANG,CTY - DN
KH-0362,VĂN PHÒNG CÔNG CHỨNG NGUYỄN VĂN THU,CTY - DN
KH-0363,Công ty TNHH Công Nghệ Phần Mềm TOP Việt Nam,CTY - DN
KH-0364,CÔNG TY TNHH HỆ THỐNG MỚI VIỆT NAM,CTY - DN
KH-0365,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TIN HỌC EST,CTY - DN
KH-0366,Công ty Cổ Phần Đầu tư và Phát triển nhà Hà Nội số 52,CTY - DN
KH-0367,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG AN MA VIỆT NAM,CTY - DN
KH-0368,CÔNG TY CỔ PHẦN BELLSYSTEM24-HOASAO,CTY - DN
KH-0369,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ,CTY - DN
KH-0370,VĂN PHÒNG ĐẠI DIỆN NGÂN HÀNG TNHH CTBC TẠI HÀ NỘI,CTY - DN
KH-0371,CÔNG TY TNHH MAXPORT LIMITED (VIET NAM),CTY - DN
KH-0372,CÔNG TY TNHH CÔNG NGHỆ PHẨM BA ĐÌNH,CTY - DN
KH-0373,CÔNG TY CP THỦY ĐIỆN LEADER NAM TIẾN,CTY - DN
KH-0374,CÔNG TY CỔ PHẦN A B PHÚ QUỐC,CTY - DN
KH-0375,CHI NHÁNH CÔNG TY TNHH TƯ VẤN KỸ THUẬT TIN HỌC VÀ THƯƠNG MẠI VIỆT C.A.D,CTY - DN
KH-0376,CÔNG TY CỔ PHẦN BLUESOFTS,CTY - DN
KH-0377,CÔNG TY TNHH ĐIỆN GIÓ CHÍNH THẮNG,CTY - DN
KH-0378,CÔNG TY CỔ PHẦN ADVANTECH VIỆT NAM TECHNOLOGY,CTY - DN
KH-0379,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT NAM SƠN,CTY - DN
KH-0380,CÔNG TY CỔ PHẦN KỸ THUẬT CMP,CTY - DN
KH-0381,CÔNG TY TNHH THIẾT BỊ NỘI THẤT CAO CẤP,CTY - DN
KH-0382,CÔNG TY TNHH TÍN BẢO LAN,CTY - DN
KH-0383,CÔNG TY TNNHH KỸ THUẬT BỀN VỮNG VIỆT NAM,CTY - DN
KH-0384,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ MÁY CHỦ MINH CHÂU,CTY - DN
KH-0385,CÔNG TY TNHH INSIGHT TECHNOLOGY VIỆT NAM,CTY - DN
KH-0386,CÔNG TY LIÊN DOANH Y HỌC VIỆT - HÀN,CTY - DN
KH-0387,Công ty TNHH dịch vụ công nghệ phát triển bền vững và quản lý năng lượng,CTY - DN
KH-0388,Công ty cổ phần tư vấn thiết kế điện Long Giang,CTY - DN
KH-0389,CÔNG TY TNHH HỆ THỐNG TRUYỀN TẢI VÀ PHÂN PHỐI TOSHIBA (VIỆT NAM),CTY - DN
KH-0390,CÔNG TY TRÁCH NHIỆM HỮU HẠN TIẾP VẬN THĂNG LONG,CTY - DN
KH-0391,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,CTY - DN
KH-0392,Học Viện Khoa Học Xã Hội,CTY - DN
KH-0393,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP VÀ ĐÀO TẠO CÔNG NGHỆ THÔNG TIN DIPT,CTY - DN
KH-0394,Chi nhánh công ty cổ phần Logistics Vinalink,CTY - DN
KH-0395,Công Ty TNHH Framas HaNoi,CTY - DN
KH-0396,CÔNG TY TNHH FRAMGIA VIỆT NAM,CTY - DN
KH-0397,TRUNG TÂM TIN HỌC- BỘ KHOA HỌC CÔNG NGHỆ,CTY - DN
KH-0398,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM SAO VIỆT,CTY - DN
KH-0399,Công Ty TNHH Sao Đỏ Việt Nam,CTY - DN
KH-0400,CÔNG TY CỔ PHẦN THƯƠNG MẠI MÁY CHỦ HÀ NỘI,CTY - DN
KH-0401,Công ty TNHH Fujitsu Việt Nam,CTY - DN
KH-0402,CÔNG TY TNHH PHẦN MỀM CHẤT LƯỢNG,CTY - DN
KH-0403,TRUNG TÂM HẠ TẦNG THÔNG TIN TỈNH PHÚC,CTY - DN
KH-0404,CÔNG TY CỔ PHẦN TÍCH HỢP HỆ THỐNG THÔNG TIN 3CSI,CTY - DN
KH-0405,CÔNG TY CỔ PHẦN HYUNDAI THÀNH CÔNG VIỆT NAM,CTY - DN
KH-0406,CHI NHÁNH - CÔNG TY TNHH MỘT THÀNH VIÊN VIỄN THÔNG QUỐC TẾ FPT,CTY - DN
KH-0407,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN NAM Á,CTY - DN
KH-0408,CÔNG TY CỔ PHẦN CÔNG NGHỆ THƯƠNG MẠI DỊCH VỤ VIETSTARS,CTY - DN
KH-0409,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ XÂY DỰNG THÁI NGUYÊN,CTY - DN
KH-0410,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ TOÀN THẮNG,CTY - DN
KH-0411,CHI NHÁNH MIỀN BẮC - CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC,CTY - DN
KH-0412,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC VÀ TRUYỀN THÔNG VECTECH,CTY - DN
KH-0413,CÔNG TY CỔ PHẦN CÔNG NGHỆ BẰNG HỮU,CTY - DN
KH-0414,CÔNG TY CỔ PHẦN ĐẦU TƯ CAPITAL HOUSE,CTY - DN
KH-0415,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ CÔNG NGHỆ MIỀN BẮC,CTY - DN
KH-0416,CÔNG TY TNHH THƯƠNG MẠI TÂN AN,CTY - DN
KH-0417,CÔNG TY TNHH MEKTEC MANUFACTURING (VIỆT NAM),CTY - DN
KH-0418,Công ty TNHH Kỹ Nghệ Phúc Anh,CTY - DN
KH-0419,CÔNG TY CỔ PHẦN TECOMEN,CTY - DN
KH-0420,CÔNG TY CỔ PHẦN RCEE - NIRAS,CTY - DN
KH-0421,CÔNG TY CỔ PHẦN TMC HÀ NỘI- VIỆT NAM,CTY - DN
KH-0422,Công ty TNHH JGC Việt Nam,CTY - DN
KH-0423,CÔNG TY TNHH TCG LAND,CTY - DN
KH-0424,Công ty Cổ phần Overseas Fashions,CTY - DN
KH-0425,Công ty TNHH Trung tâm Gia công Hà Nội Việt Nam POSCO-VNPC,CTY - DN
KH-0426,Công Ty TNHH Liên Kết Công Nghệ,CTY - DN
KH-0427,Chi Nhánh Công Ty TNHH Comin Việt Nam,CTY - DN
KH-0428,Công Ty TNHH Hệ Thống Công Nghiệp Việt Nam,CTY - DN
KH-0429,Công ty TNHH Hellobyte,CTY - DN
KH-0430,Công Ty Cổ Phần Thương Mại Kỹ Thuật Tam Thành Phát,CTY - DN
KH-0431,Văn phòng đại diện New World Fashion Group tại Hồ Chí Minh,CTY - DN
KH-0432,CÔNG TY CỔ PHẦN ĐẦU TƯ Q&T,CTY - DN
KH-0433,CÔNG TY TNHH CHUNGHWA TELECOM VIỆT NAM,CTY - DN
KH-0434,Công ty TNHH Comin Việt Nam,CTY - DN
KH-0435,Công Ty Cổ Phần Công Nghệ Thông Tin Địa Lý Ek,CTY - DN
KH-0436,Công Ty Cổ Phần Thức Ăn Chăn Nuôi Thái Dương,CTY - DN
KH-0437,Công ty TNHH Thương Mại Và Công Nghệ Việt,CTY - DN
KH-0438,Công ty TNHH Dịch vụ Tiện ích Quốc tế OCS,CTY - DN
KH-0439,TRUNG TÂM THỬ NGHIỆM KHÍ THẢI PHƯƠNG TIỆN GIAO THÔNG CƠ GIỚI ĐƯỜNG BỘ,CTY - DN
KH-0440,Công Ty TNHH Viễn Thông Và Công Nghệ Cao Thái Sơn,CTY - DN
KH-0441,Công ty TNHH thương mại và sản xuất Hoàng Mai,CTY - DN
KH-0442,CÔNG TY CỔ PHẦN THƯƠNG MẠI HỒNG HÀ,CTY - DN
KH-0443,TRUNG TÂM THÔNG TIN DỮ LIỆU ĐIỆN TỬ TỈNH THỪA THIÊN HUẾ,CTY - DN
KH-0444,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN TOÀN CẦU,CTY - DN
KH-0445,CÔNG TY TNHH HANSOL ELECTRONICS VIỆT NAM,CTY - DN
KH-0446,CÔNG TY TNHH NETCAB,CTY - DN
KH-0447,CÔNG TY CỔ PHẦN VICOSTONE,CTY - DN
KH-0448,CÔNG TY TNHH SX-TM HÀNH MỸ,CTY - DN
KH-0449,CÔNG TY TNHH MANPOWER VIỆT NAM,CTY - DN
KH-0450,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH NIPPON EXPRESS (VIỆT NAM) TẠI HÀ NỘI,CTY - DN
KH-0451,CÔNG TY CỔ PHẦN ĐIỆN TOÁN VIỄN THÔNG VIETTELCO,CTY - DN
KH-0452,CÔNG TY CỔ PHẦN KỸ THUẬT SIGMA,CTY - DN
KH-0453,Công ty cổ phần đầu tư và phát triển kỹ thuật năng lượng VEC,CTY - DN
KH-0454,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ SAVIS VIỆT NAM,CTY - DN
KH-0455,Công ty cổ phần Vận tải & Dịch vụ Petrolimex Nghệ Tĩnh,CTY - DN
KH-0456,Công ty TNHH May Mặc Excel Việt Nam,CTY - DN
KH-0457,CÔNG TY CỔ PHẦN TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,CTY - DN
KH-0458,TRƯỜNG QUỐC TẾ ĐA CẤP ANH VIỆT HOÀNG GIA (BVIS ROYAL),CTY - DN
KH-0459,CÔNG TY TNHH DU LỊCH MẠO HIỂM XUYÊN Á,CTY - DN
KH-0460,Công ty TNHH Thiết Bị Khoa Học Công Nghệ Mới,CTY - DN
KH-0461,Công ty Cổ Phần Máy Tính Nhật Mỹ,CTY - DN
KH-0462,Dự án phát triển hệ thống thông tin quản lý ngành Lâm nghiệp tại Việt Nam-Giai đoạn 2 (Formis II),CTY - DN
KH-0463,Công Ty TNHH Fruit of The Loom Việt Nam,CTY - DN
KH-0464,CÔNG TY TNHH TIN HỌC VIỄN THÔNG NHẤT TIẾN CHUNG,CTY - DN
KH-0465,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG,CTY - DN
KH-0466,CÔNG TY TNHH JFD VIỆT NAM,CTY - DN
KH-0467,TRUNG TÂM ỨNG DỤNG CÔNG NGHỆ THÔNG TIN XÚC TIẾN THƯƠNG MẠI,CTY - DN
KH-0468,Công ty TNHH Công nghiệp Oriental Sports Việt Nam,CTY - DN
KH-0469,Công ty TNHH ACTIVE-SEMI Việt Nam,CTY - DN
KH-0470,Công Ty CP Dịch Vụ Công Nghệ Sao Bắc Đẩu,CTY - DN
KH-0471,CÔNG TY CỔ PHẦN SSS VIỆT NAM,CTY - DN
KH-0472,Công Ty TNHH Sự Lựa Chọn Vàng,CTY - DN
KH-0473,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TIN HỌC TÍN THÀNH,CTY - DN
KH-0474,Công ty TNHH Yen Of LonDon,CTY - DN
KH-0475,Công ty TNHH Sugiko Việt Nam,CTY - DN
KH-0476,CHI NHÁNH CÔNG TY TNHH PHẦN MỀM FPT TẠI ĐÀ NẴNG,CTY - DN
KH-0477,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ FANXIPAN VIỆT NAM,CTY - DN
KH-0478,Chi nhánh công ty TNHH Shoei Việt Nam tại Bắc Ninh,CTY - DN
KH-0479,Công ty TNHH Terumo Việt Nam,CTY - DN
KH-0480,CÔNG TY TNHH CÔNG NGHỆ ẮC QUY HENG LI (VIỆT NAM),CTY - DN
KH-0481,CÔNG TY TNHH VSIP BẮC NINH,CTY - DN
KH-0482,Công Ty Cổ Phần Hà Yến,CTY - DN
KH-0483,Công Ty Cổ Phần Trò Chơi Hiker,CTY - DN
KH-0484,Văn phòng dự án Tổ chức TRAFFIC International tại Việt Nam,CTY - DN
KH-0485,CÔNG TY CỔ PHẦN NHÂN LỰC QUỐC TẾ HRI,CTY - DN
KH-0486,CỤC XÚC TIẾN THƯƠNG MẠI,CTY - DN
KH-0487,CÔNG TY CỔ PHẦN HANACANS,CTY - DN
KH-0488,QES (ASIA - PACIFIC) SDN BHD.,CTY - DN
KH-0489,Công Ty TNHH Puretech Việt Nam,CTY - DN
KH-0490,Công ty TNHH MTV Cao Su Dầu Tiếng,CTY - DN
KH-0491,Công ty TNHH PASONA TECH Việt Nam,CTY - DN
KH-0492,Công ty TNHH công nghiệp C.N.T,CTY - DN
KH-0493,Công Ty TNHH Honda Lock Việt Nam,CTY - DN
KH-0494,Công ty TNHH Sungnam Knitting Mills,CTY - DN
KH-0495,CÔNG TY TNHH DAIN LEADERS VIỆT NAM,CTY - DN
KH-0496,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT,CTY - DN
KH-0497,Công Ty Cổ Phần Careerbuilder,CTY - DN
KH-0498,"Ngân Hàng Citibank, N.A., Chi Nhánh Thành Phố Hồ Chí Minh",CTY - DN
KH-0499,CÔNG TY TNHH ĐIỆN TỬ TIN HỌC IT,CTY - DN
KH-0500,CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN KHAI THÁC CÔNG TRÌNH THỦY LỢI PHÚ THỌ,CTY - DN
KH-0501,Công ty TNHH Vật Tư Khoa Học Kỹ Thuật Đông Dương,CTY - DN
KH-0502,Công Ty TNHH Thương Mại Dịch Vụ Kỹ Thuật G.P.L,CTY - DN
KH-0503,VĂN PHÒNG TỈNH ỦY LÀO CAI,CTY - DN
KH-0504,Công Ty TNHH Công Nghệ Tin Học C.P,CTY - DN
KH-0505,CÔNG TY TNHH NOZOMI,CTY - DN
KH-0506,Công ty TNHH Sài Gòn STEC,CTY - DN
KH-0507,CÔNG TY TNHH NIPPON PAINT VIỆT NAM (HÀ NỘI),CTY - DN
KH-0508,Công ty Cổ phần LICOGI13- Nền móng xây dựng,CTY - DN
KH-0509,CÔNG TY TNHH EM-TECH VIỆT NAM,CTY - DN
KH-0510,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ DẦU KHÍ ĐÔNG HƯNG,CTY - DN
KH-0511,CÔNG TY CỔ PHẦN THỰC PHẨM RICHY MIỀN BẮC,CTY - DN
KH-0512,Công ty TNHH Công nghệ Niềm Tin,CTY - DN
KH-0513,CÔNG TY CỔ PHẦN GIÀY ĐẠI LỘC,CTY - DN
KH-0514,CÔNG TY TNHH HITACHI PLANT TECHNOLOGIES ( VIỆT NAM),CTY - DN
KH-0515,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ DỊCH VỤ NÔNG NGHIỆP VIỆT NAM,CTY - DN
KH-0516,CÔNG TY TNHH SD GLOBAL VIỆT NAM,CTY - DN
KH-0517,CÔNG TY TNHH TAKAHATA PRECISION VIỆT NAM,CTY - DN
KH-0518,CÔNG TY CỔ PHẦN SẢN XUẤT HÀNG THỂ THAO,CTY - DN
KH-0519,CÔNG TY TNHH SCANDINAVIAN DESIGN VIỆT NAM,CTY - DN
KH-0520,Công Ty TNHH Công Nghiệp Vĩnh Tường Miền Bắc Việt Nam,CTY - DN
KH-0521,CÔNG TY TNHH GIẢI PHÁP DG,CTY - DN
KH-0522,CÔNG TY CỔ PHẦN SXKD XNK BÌNH THẠNH,CTY - DN
