Mã KH,Khách hàng,Loại Khách hàng
KH-0523,CTY JFE ENGINEERING CORPORATION – NTC THCV THI CÔNG & HT CÁC HM LQ ĐẾN GT “CP-2: NM XỬ LÝ NƯỚC THẢI”,CTY - DN
KH-0524,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN SAIGONTEL,CTY - DN
KH-0525,Công Ty Cổ Phần Phát Triển Đô Thị Quốc Tế Việt Nam,CTY - DN
KH-0526,CÔNG TY TNHH DỆT VÀ NHUỘM HƯNG YÊN,CTY - DN
KH-0527,TRUNG TÂM ĐÀO TẠO VÀ NÂNG CAO NĂNG LỰC PHỤ NỮ,CTY - DN
KH-0528,CÔNG TY CỔ PHẦN CÔNG NGHỆ OCG,CTY - DN
KH-0529,Công Ty Cổ Phần Nhiệt Điện Vũng Áng II (Vapco),CTY - DN
KH-0530,CÔNG TY TNHH TM&DV VĨNH CƯỜNG,CTY - DN
KH-0531,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ VIỆT,CTY - DN
KH-0532,CONG TY TNHH MICHELLE,CTY - DN
KH-0533,Công ty TNHH MT Hojgaard Việt Nam,CTY - DN
KH-0534,Công ty TNHH Technova,CTY - DN
KH-0535,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT MOBIFONE,CTY - DN
KH-0536,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI PHÚ QUANG HƯNG,CTY - DN
KH-0537,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG VĨNH PHÚC,CTY - DN
KH-0538,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM,CTY - DN
KH-0539,CÔNG TY TNHH BUSINESS CONSULTANTS VIỆT NAM,CTY - DN
KH-0540,Công ty Cổ phần INNOTEK,CTY - DN
KH-0541,CÔNG TY CỔ PHẦN FPS VIỆT NAM,CTY - DN
KH-0542,CÔNG TY TNHH TƯ VẤN VÀ ĐẦU TƯ TIÊN PHONG QUỐC TẾ VIỆT NAM,CTY - DN
KH-0543,CÔNG TY TNHH ENS FOAM,CTY - DN
KH-0544,CÔNG TY TNHH INSPECTORIO VIỆT NAM,CTY - DN
KH-0545,CHI NHÁNH CÔNG TY CỔ PHẦN FOODY TẠI HÀ NỘI,CTY - DN
KH-0546,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VẠN LỘC,CTY - DN
KH-0547,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,CTY - DN
KH-0548,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO THÀNH NAM,CTY - DN
KH-0549,CÔNG TY TRÁCH NHIỆM HỮU HẠN VÂN LONG,CTY - DN
KH-0550,CÔNG TY TNHH TƯ VẤN COUTURE VIỆT NAM,CTY - DN
KH-0551,CÔNG TY CỔ PHẦN NƯỚC GIẢI KHÁT SANEST KHÁNH HÒA,CTY - DN
KH-0552,CÔNG TY CỔ PHẦN ĐẠI ĐỒNG TIẾN,CTY - DN
KH-0553,Công ty CP Truyền thông và Công nghệ A1,CTY - DN
KH-0554,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG,CTY - DN
KH-0555,CÔNG TY TNHH KỸ THUẬT VÀ THƯƠNG MẠI VIỆT Á,CTY - DN
KH-0556,CÔNG TY CỔ PHẦN CÔNG NGHỆ TAM PHÚ,CTY - DN
KH-0557,Công ty TNHH Tư vấn Quản lý MCG,CTY - DN
KH-0558,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HC TOÀN CẦU,CTY - DN
KH-0559,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HƯNG PHÁT,CTY - DN
KH-0560,Công ty TNHH Thakral One,CTY - DN
KH-0561,Công ty TNHH Phần mềm CADCAM,CTY - DN
KH-0562,CN Công ty TNHH Nhà nước MTV Thương mại và XNK VIETTEL-Trung tâm phân phối,CTY - DN
KH-0563,CÔNG TY TNHH EL DORADO VIỆT NAM,CTY - DN
KH-0564,Công Ty TNHH Phần mềm Tin Học Điện Tử Tích Hợp,CTY - DN
KH-0565,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ TRẦN ANH,CTY - DN
KH-0566,Công ty Cổ phần Quảng cáo Mai Cát Tường,CTY - DN
KH-0567,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH VIT HẠ LONG,CTY - DN
KH-0568,Công ty TNHH Phân Phối SNB,CTY - DN
KH-0569,Chi Nhánh Công Ty TNHH Yen Of London,CTY - DN
KH-0570,Công ty TNHH BX Bunka Việt Nam,CTY - DN
KH-0571,CÔNG TY TNHH THIẾT BỊ KỸ THUẬT TUẤN THỊNH,CTY - DN
KH-0572,CÔNG TY TNHH CNC VINA,CTY - DN
KH-0573,Công ty TNHH GoerTek Vina,CTY - DN
KH-0574,CÔNG TY TNHH WELLBE VIỆT NAM,CTY - DN
KH-0575,CÔNG TY TNHH YOON IL VIỆT NAM,CTY - DN
KH-0576,TRUNG TÂM TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG,CTY - DN
KH-0577,Viện Khoa Học và Kỹ Thuật Hạt Nhân,CTY - DN
KH-0578,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG,CTY - DN
KH-0579,CÔNG TY TNHH VIỆT NAM TOYO DENSO,CTY - DN
KH-0580,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,CTY - DN
KH-0581,CÔNG TY CỔ PHẦN KORIHOME VIỆT NAM,CTY - DN
KH-0582,NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN XUÂN LỘC ĐỒNG NAI,CTY - DN
KH-0583,CÔNG TY TNHH MAZARS VIỆT NAM,CTY - DN
KH-0584,CÔNG TY CỔ PHẦN SẢN XUẤT KINH DOANH DƯỢC VÀ TRANG THIẾT BỊ Y TẾ VIỆT MỸ,CTY - DN
KH-0585,Công ty TNHH Đầu Tư thương mại Dung Hòa,CTY - DN
KH-0586,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÁT TRIỂN HẢI TRUNG,CTY - DN
KH-0587,CÔNG TY CỔ PHẦN JIVC,CTY - DN
KH-0588,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ CÔNG NGHỆ ANH EM,CTY - DN
KH-0589,CÔNG TY TNHH UTI VINA,CTY - DN
KH-0590,Trường THPT Nguyễn Văn Linh,CTY - DN
KH-0591,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH – CÔNG TY TNHH HASHIMA VIỆT NAM,CTY - DN
KH-0592,CÔNG TY CỔ PHẦN HẠ TẦNG ĐÔNG Á,CTY - DN
KH-0593,Công Ty TNHH Hệ Thống Thông Tin Fpt,CTY - DN
KH-0594,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VÀ TRUYỀN THÔNG VICTORY VIỆT NAM,CTY - DN
KH-0595,"Co-well Co., Ltd",CTY - DN
KH-0596,CÔNG TY TNHH HWATA VIỆT NAM,CTY - DN
KH-0597,CÔNG TY TNHH YOUNGJIN HI - TECH VINA,CTY - DN
KH-0598,CÔNG TY PHẦN MỀM VNPT- CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,CTY - DN
KH-0599,Công ty TNHH thương mại và dịch vụ Thông Thiên,CTY - DN
KH-0600,Công Ty TNHH Thương Mại Công Nghệ Minh Thắng,CTY - DN
KH-0601,Công ty TNHH May Nien Hsing Việt Nam,CTY - DN
KH-0602,TRƯỜNG THPT VIỆT MỸ ANH,CTY - DN
KH-0603,Công ty TNHH thương mại dịch vụ An Đạt Thịnh,CTY - DN
KH-0604,CÔNG TY TNHH MTV ỨNG DỤNG CÔNG NGHỆ VÀ DỊCH VỤ TRUYỀN THÔNG ÂU LẠC,CTY - DN
KH-0605,CÔNG TY CỔ PHẦN VĂN HÓA TÂN BÌNH,CTY - DN
KH-0606,CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ T.T.K,CTY - DN
KH-0607,CÔNG TY CỔ PHẦN THỦY SẢN CÀ MAU,CTY - DN
KH-0608,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BẤT ĐỘNG SẢN LANMAK,CTY - DN
KH-0609,Công ty TNHH Phát triển công nghệ và thương mại Gia Long,CTY - DN
KH-0610,CÔNG TY CỐ PHẦN DỊCH VỤ MÁY TÍNH KỶ NGUYÊN,CTY - DN
KH-0611,Công Ty Cổ Phần Thực Phẩm Richy Miền Nam,CTY - DN
KH-0612,Công ty TNHH Thương Mại Tin Học Công Nghệ Zonotek,CTY - DN
KH-0613,Công ty CP ĐT và PTCN Quốc gia ADG,CTY - DN
KH-0614,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC HT VIỆT NAM,CTY - DN
KH-0615,Công ty TNHH Yokowo Việt Nam,CTY - DN
KH-0616,CÔNG TY CỔ PHẦN VẬN TẢI BÌNH AN HÀ TIÊN,CTY - DN
KH-0617,Công ty CP Máy Tính Hà Nội,CTY - DN
KH-0618,Công ty TNHH GTS Hải Đăng,CTY - DN
KH-0619,CÔNG TY TNHH DOOSUN VIỆT NAM,CTY - DN
KH-0620,CÔNG TY TNHH VIỆT NAM TOKAI,CTY - DN
KH-0621,CÔNG TY NĂNG LƯỢNG MEKONG,CTY - DN
KH-0622,Công ty TNHH Thương mại Kỹ thuật Song Lợi,CTY - DN
KH-0623,CÔNG TY CỔ PHẦN BỀN,CTY - DN
KH-0624,CÔNG TY TNHH BAGS CONNECTION VINA,CTY - DN
KH-0625,Công ty TNHH Yudo Việt Nam,CTY - DN
KH-0626,CÔNG TY CỔ PHẦN NSTECH VIỆT NAM,CTY - DN
KH-0627,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRÂM QUỲNH,CTY - DN
KH-0628,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TIN HỌC MẠNH TÚ,CTY - DN
KH-0629,CÔNG TY TNHH GIẢI PHÁP VÀ DỊCH VỤ CAO CẤP,CTY - DN
KH-0630,CÔNG TY TNHH THƯƠNG MẠI LONG MỸ,CTY - DN
KH-0631,Công ty TNHH công nghệ xây dựng Đại Phong,CTY - DN
KH-0632,CÔNG TY TNHH MHI AEROSPACE VIỆT NAM,CTY - DN
KH-0633,CÔNG TY TNHH FRESCO FOODS,CTY - DN
KH-0634,CÔNG TY VTC DỊCH VỤ TRUYỀN HÌNH SỐ,CTY - DN
KH-0635,Công Ty Kurihara Việt Nam,CTY - DN
KH-0636,CÔNG TY TNHH KỸ THUẬT CHANGHONG (VIỆT NAM),CTY - DN
KH-0637,Công Ty TNHH Một Thành Viên Đóng Tàu Hạ Long,CTY - DN
KH-0638,CÔNG TY CỔ PHẦN DELTA CROPCARE,CTY - DN
KH-0639,Cửa Hàng Công Liên,CTY - DN
KH-0640,CÔNG TY M&C ELECTRONICS VINA,CTY - DN
KH-0641,CÔNG TY TNHH 1 TV DỊCH VỤ THƯƠNG MẠI PHÚC HOÀNG,CTY - DN
KH-0642,Công Ty TNHH QUảng Cáo B.M.C,CTY - DN
KH-0643,CÔNG TY TNHH QUẢN LÝ CA,CTY - DN
KH-0644,Công Ty CP Thiết Kế và Trang Trí Nội Thất Norah,CTY - DN
KH-0645,Công Ty Cổ Phần Cơ Kim Khí Việt Mỹ,CTY - DN
KH-0646,CÔNG TY TNHH NIKKEN INTERNATIONAL ASIA,CTY - DN
KH-0647,CÔNG TY TNHH BROTEX (VIỆT NAM),CTY - DN
KH-0648,Công ty TNHH Lockon Việt Nam,CTY - DN
KH-0649,VPĐD THƯỜNG TRÚ HIỆP HỘI CÁC PHÒNG THƯƠNG MẠI & CÔNG NGHIỆP ĐỨC (DIHK) TẠI VIỆT NAM,CTY - DN
KH-0650,Công ty TNHH KISHIN Việt Nam,CTY - DN
KH-0651,Công Ty TNHH Công Nghệ Kinh Doanh Quốc Tế,CTY - DN
KH-0652,CÔNG TY TNHH CO-WELL CHÂU Á,CTY - DN
KH-0653,Công Ty Cổ Phần BlueCom Việt Nam,CTY - DN
KH-0654,Công ty Cổ phần Tân Cảng Bến Thành,CTY - DN
KH-0655,Công ty TNHH NISHIO Rent All Việt Nam,CTY - DN
KH-0656,CÔNG TY TNHH TÂN HỒNG HÀ,CTY - DN
KH-0657,CÔNG TY TNHH NS TECH.VINA,CTY - DN
KH-0658,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 4,CTY - DN
KH-0659,VPĐD TT HIỆP HỘI CÁC PHÒNG THƯƠNG MẠI & CÔNG  NGHIỆP ĐỨC (DIHK) TẠI TP. HỒ CHÍ MINH,CTY - DN
KH-0660,Công Ty TNHH Mizuho Precision Việt Nam,CTY - DN
KH-0661,TRUNG TÂM TƯ VẤN XÂY DỰNG CÔNG NGHIỆP VÀ HẠ TẦNG,CTY - DN
KH-0662,Công ty TNHH Maxpeed Hà Nội,CTY - DN
KH-0663,Đài Phát thanh - Truyền hình Hải Dương,CTY - DN
KH-0664,CÔNG TY TNHH RICHARD MOORE ASSOCIATES,CTY - DN
KH-0665,CÔNG TY TNHH GIẤY  KRAFT VINA,CTY - DN
KH-0666,CÔNG TY TNHH WURTH VIỆT NAM,CTY - DN
KH-0667,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT VIỄN THÔNG,CTY - DN
KH-0668,Công ty TNHH Kotiti Việt Nam,CTY - DN
KH-0669,Công ty Cổ phần Đầu tư Kỹ thuật Berjaya Gia Thịnh,CTY - DN
KH-0670,CÔNG TY TNHH PROPERWELL VIỆT NAM,CTY - DN
KH-0671,TRUNG TÂM PHÒNG CHỐNG HIV/AIDS TỈNH KIÊN GIANG,CTY - DN
KH-0672,CÔNG TY TNHH NIPPON PAINT VĨNH PHÚC,CTY - DN
KH-0673,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ & XÂY DỰNG A.E,CTY - DN
KH-0674,CÔNG TY TNHH GENSOFT VINA,CTY - DN
KH-0675,CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY LẮP HÀ NGUYÊN,CTY - DN
KH-0676,CÔNG TY TNHH DỊCH VỤ BẢO DƯỠNG MÁY BAY CẢNG HÀNG KHÔNG MIỀN NAM,CTY - DN
KH-0677,VĂN PHÒNG ĐẠI DIỆN CÔNG TY VIETNAM HOLDING ASSET MANAGEMENT LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH,CTY - DN
KH-0678,CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ G HOMES,CTY - DN
KH-0679,CÔNG TY TNHH OGILVYONE VIỆT NAM,CTY - DN
KH-0680,"CÔNG TY TNHH VẬN CHUYỂN ""K"" LINE (VIỆT NAM)",CTY - DN
KH-0681,CÔNG TY TNHH ĐÔNG A,CTY - DN
KH-0682,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI TIẾN MINH,CTY - DN
KH-0683,Công Ty Cổ Phần Thương Mại Phân Phối Các Sản Phẩm Điện Tử Tin Học,CTY - DN
KH-0684,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN - TÒA THÁP KHÁCH SẠN,CTY - DN
KH-0685,CÔNG TY CỔ PHẦN THƯƠNG MẠI & PHÁT TRIỂN CÔNG NGHỆ HƯNG THIỆN,CTY - DN
KH-0686,CÔNG TY TNHH VÕ TRỌNG NGHĨA,CTY - DN
KH-0687,CÔNG TY CỔ PHẦN IDC ĐÔNG DƯƠNG,CTY - DN
KH-0688,CÔNG TY CỔ PHẦN THỂ THAO NGÔI SAO GERU,CTY - DN
KH-0689,CÔNG TY TNHH HANSOL CNP VINA,CTY - DN
KH-0690,Công ty Cổ phần Công nghệ ELITE,CTY - DN
KH-0691,CÔNG TY TNHH WILLER VIỆT NAM,CTY - DN
KH-0692,TRUNG TÂM TRUYỀN THÔNG - TRUYỀN HÌNH CÔNG THƯƠNG,CTY - DN
KH-0693,Công Ty TNHH Tin Học và Thương Mại Chân Chính,CTY - DN
KH-0694,CÔNG TY TNHH JULIE SANDLAU VIỆT NAM,CTY - DN
KH-0695,CÔNG TY TNHH MÁY TÍNH LONG NGUYỄN,CTY - DN
KH-0696,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT ĐỒ DÙNG GIA ĐÌNH VIỆT NAM,CTY - DN
KH-0697,CÔNG TY TNHH NHẤT NHẤT,CTY - DN
KH-0698,CÔNG TY TNHH HỒNG VẬN,CTY - DN
KH-0699,Công Ty Mua Bán Điện,CTY - DN
KH-0700,CÔNG TY TNHH VIỄN TÍN VINH,CTY - DN
KH-0701,CÔNG TY TNHH SI FLEX VIỆT NAM,CTY - DN
KH-0702,CÔNG TY CỔ PHẦN XNK VÀ ĐẦU TƯ THỪA THIÊN HUẾ,CTY - DN
KH-0703,CÔNG TY CỔ PHẦN LÚA VÀNG,CTY - DN
KH-0704,CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,CTY - DN
KH-0705,CÔNG TY CỔ PHẦN GIÓ NHẸ MIỀN NAM,CTY - DN
KH-0706,CÔNG TY TNHH YUSEN LOGISTICS (VIỆT NAM),CTY - DN
KH-0707,CÔNG TY CỔ PHẦN CORESOFT,CTY - DN
KH-0708,ECODIT LLC – Dự án Trường Sơn Xanh do USAID tài trợ,CTY - DN
KH-0709,CÔNG TY TNHH ĐIỆN LẠNH MIỀN TÂY,CTY - DN
KH-0710,Công ty TNHH BIP Systems Việt Nam,CTY - DN
KH-0711,CÔNG TY CỔ PHẦN PHẦN MỀM CITIGO,CTY - DN
KH-0712,CÔNG TY TNHH SEEC VIỆT NAM,CTY - DN
KH-0713,CÔNG TY CỔ PHẦN XI MĂNG HỆ DƯỠNG,CTY - DN
KH-0714,Công ty  TNHH Một Thành Viên Công nghệ Phúc Sơn,CTY - DN
KH-0715,CÔNG TY TNHH YAMATO LOGISTICS VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,CTY - DN
KH-0716,CHI NHÁNH THỦ ĐỨC - CÔNG TY CỔ PHẦN I.P.L,CTY - DN
KH-0717,CÔNG TY TNHH THẾ GIỚI KIM CƯƠNG,CTY - DN
KH-0718,CÔNG TY CỔ PHẦN FUJIWINDOWS,CTY - DN
KH-0719,CÔNG TY TNHH NHÓM MÂY,CTY - DN
KH-0720,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI THÁI TRÍ,CTY - DN
KH-0721,CÔNG TY TNHH ESPRINTA (VIỆT NAM),CTY - DN
KH-0722,CÔNG TY TNHH NESSCO VIỆT NAM,CTY - DN
KH-0723,CÔNG TY TRÁCH NHIỆM HỮU HẠN CÔNG NGHỆ KIẾN HÂN,CTY - DN
KH-0724,CÔNG TY TNHH HSIEHS BIOTECH,CTY - DN
KH-0725,CÔNG TY TNHH OLMIX ASIALAND VIỆT NAM,CTY - DN
KH-0726,CÔNG TY CỔ PHẦN TÍCH HỢP HỆ THỐNG NAM TRƯỜNG SƠN,CTY - DN
KH-0727,CÔNG TY TNHH YAKJIN INTERTEX,CTY - DN
KH-0728,CÔNG TY TNHH ĐÀO TẠO VÀ TÍCH HỢP CÔNG NGHỆ E-TECK,CTY - DN
KH-0729,CÔNG TY TNHH TM DV KỸ THUẬT VIỄN THÔNG TOÀN CẦU,CTY - DN
KH-0730,CÔNG TY TNHH 1C VIỆT NAM,CTY - DN
KH-0731,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ VIỆT TIẾN,CTY - DN
KH-0732,CÔNG TY CỔ PHẦN CARBON VIỆT NAM,CTY - DN
KH-0733,CÔNG TY TNHH MỘT THÀNH VIÊN MAY MẶC VIỆT PACIFIC,CTY - DN
KH-0734,CÔNG TY TNHH SL INTERNATIONAL,CTY - DN
KH-0735,CÔNG TY CỔ PHẦN KỸ THUẬT VÀ THƯƠNG MẠI H.T.G,CTY - DN
KH-0736,CÔNG TY TNHH MTV I.M.LINK VIỆT NAM,CTY - DN
KH-0737,CÔNG TY CỔ PHẦN DƯỢC PHẨM PHA NO,CTY - DN
KH-0738,CÔNG TY TNHH ANH TIN,CTY - DN
KH-0739,"VĂN PHÒNG ĐẠI DIỆN PAN-PACIFIC CO.,LTD TẠI THÀNH PHỐ HỒ CHÍ MINH",CTY - DN
KH-0740,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ DHA,CTY - DN
KH-0741,CÔNG TY TNHH TƯ VẤN INNOVATURE,CTY - DN
KH-0742,CÔNG TY TNHH ĐIỆN TỬ TT,CTY - DN
KH-0743,TRUNG TÂM ĐIỀU ĐỘ HỆ THỐNG ĐIỆN MIỀN TRUNG,CTY - DN
KH-0744,Công ty CP Đường Quảng Ngãi,CTY - DN
KH-0745,Công Ty TNHH Công Nghệ Polaris Đà Nẵng,CTY - DN
KH-0746,Công ty Taisei NB - TC gói thầu CP-1A PTR CSHT chính của DA PT CSHT KCN cao Hòa Lạc tại TPHN,CTY - DN
KH-0747,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ IDOCNET,CTY - DN
KH-0748,CÔNG TY TNHH TÍCH HỢP HỆ THỐNG CMC,CTY - DN
KH-0749,CÔNG TY CỔ PHẦN KAROFI VIỆT NAM,CTY - DN
KH-0750,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XÂY DỰNG CÔNG NGHỆ XANH,CTY - DN
KH-0751,CÔNG TY CỔ PHẦN ĐIỆN LỰC TRUNG SƠN,CTY - DN
KH-0752,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ VÀ THƯƠNG MẠI THE GARDEN,CTY - DN
KH-0753,Công ty TNHH quốc tế liên doanh VINACONEX-TAISEI (VINATA),CTY - DN
KH-0754,Công Ty Cổ Phần Odin Việt Nam,CTY - DN
KH-0755,CÔNG TY TNHH KHÔNG GIAN MỚI,CTY - DN
KH-0756,CÔNG TY CỔ PHẦN MĨ THUẬT VÀ TRUYỀN THÔNG,CTY - DN
KH-0757,Công Ty Cổ Phần Máy Tính Sài Gòn,CTY - DN
KH-0758,Công Ty TNHH Westfield Việt Nam,CTY - DN
KH-0759,Công ty TNHH Nam Of LonDon,CTY - DN
KH-0760,Văn phòng đại diện New World Fashion Group tại Hải Phòng,CTY - DN
KH-0761,Công ty Quốc tế TNHH Đông Tài Việt Nam,CTY - DN
KH-0762,CÔNG TY TNHH DIMENSION DATA VIỆT NAM,CTY - DN
KH-0763,Công ty TNHH Du Lịch Nghỉ Dưỡng Sinh Thái Mai Châu,CTY - DN
KH-0764,Công ty TNHH Matsuo Industries Việt Nam,CTY - DN
KH-0765,Công ty TNHH HEYUM Vina,CTY - DN
KH-0766,Công ty TNHH Kỹ thuật và Thương mại KT,CTY - DN
KH-0767,Công ty TNHH Yokohama Tyre Việt Nam,CTY - DN
KH-0768,CÔNG TY TNHH TIẾP VẬN THĂNG LONG – CHI NHÁNH HƯNG YÊN,CTY - DN
KH-0769,Công ty TNHH Miền Á Đông,CTY - DN
KH-0770,CÔNG TY TNHH TÍCH HỢP HỆ THỐNG ITECH,CTY - DN
KH-0771,CÔNG TY TNHH ỨNG DỤNG HỆ THỐNG THỊNH VƯỢNG,CTY - DN
KH-0772,CHI NHÁNH CÔNG TY TNHH TIẾP VẬN THĂNG LONG TẠI HẢI PHÒNG,CTY - DN
KH-0773,Công ty TNHH e-Litecom Vina,CTY - DN
KH-0774,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG VIỆT NAM,CTY - DN
KH-0775,Công Ty Cổ Phần Năng Lượng Vĩnh Tân 3,CTY - DN
KH-0776,CÔNG TY TNHH NANO HIGHTECH VIỆT NAM,CTY - DN
KH-0777,CÔNG TY CỔ PHẦN THIẾT BỊ TÂN PHÁT,CTY - DN
KH-0778,CÔNG TY TNHH CÔNG NGHIỆP HÀ YẾN SGN,CTY - DN
KH-0779,CÔNG TY CỔ PHẦN SOYA GARDEN,CTY - DN
KH-0780,CÔNG TY TNHH NGÔI NHÀ SÁNG TẠO,CTY - DN
KH-0781,Công ty TNHH Thương Mại Dịch Vụ Việt Ý,CTY - DN
KH-0782,Công ty Cổ phần Tin học Lạc Việt,CTY - DN
KH-0783,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT TẠI MIỀN TRUNG,CTY - DN
KH-0784,CÔNG TY TNHH LUNA NEXUS VN INC,CTY - DN
KH-0785,CÔNG TY TNHH VNEXUS CAPITAL ADVISORS,CTY - DN
KH-0786,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HOÁ HÀNG KHÔNG VIỆT NAM,CTY - DN
